geneID	leaf.AVG	stem.AVG	LogFC
GSCOC_T00001791001	-1.1	3.6	4.7
GSCOC_T00001794001	4.35	2.25	-2.1
GSCOC_T00001808001	3.67	4.12	0.46
GSCOC_T00001814001	3.5	3.64	0.14
GSCOC_T00001816001	7.49	7.85	0.35
GSCOC_T00001817001	1.59	-0.12	-1.71
GSCOC_T00001818001	4.89	4.57	-0.32
GSCOC_T00001819001	1.22	2.32	1.1
GSCOC_T00001820001	2.37	2.78	0.41
GSCOC_T00001834001	4.41	2.55	-1.86
GSCOC_T00001836001	6.58	5.41	-1.17
GSCOC_T00001837001	3.53	2.9	-0.63
GSCOC_T00001838001	4.65	3.5	-1.15
GSCOC_T00001840001	3.12	3.43	0.3
GSCOC_T00001841001	1.03	0.23	-0.8
GSCOC_T00001844001	4.95	3.32	-1.63
GSCOC_T00001848001	3.92	2.92	-1
GSCOC_T00001851001	3.2	2.42	-0.78
GSCOC_T00001853001	5.26	4.22	-1.04
GSCOC_T00001855001	2.79	2.12	-0.67
GSCOC_T00001857001	3.78	2.25	-1.53
GSCOC_T00001858001	4.79	4.08	-0.72
GSCOC_T00001867001	1.48	2.05	0.57
GSCOC_T00001872001	5.3	3.47	-1.83
GSCOC_T00001883001	2.41	5.47	3.06
GSCOC_T00001938001	5.54	4.83	-0.71
GSCOC_T00001952001	1.33	2.43	1.1
GSCOC_T00001961001	5.02	4.94	-0.08
GSCOC_T00001964001	3.49	3.37	-0.12
GSCOC_T00002032001	5.4	1.82	-3.58
GSCOC_T00002036001	5.3	4.61	-0.69
GSCOC_T00002037001	3.92	4.59	0.67
GSCOC_T00002038001	5.51	5.8	0.29
GSCOC_T00002040001	6.89	5.58	-1.31
GSCOC_T00002041001	1.42	-0.32	-1.74
GSCOC_T00002042001	1.88	2.54	0.66
GSCOC_T00002044001	1.57	4.16	2.6
GSCOC_T00002062001	1.45	0.23	-1.22
GSCOC_T00002063001	4.79	1.85	-2.93
GSCOC_T00002072001	5.7	4.76	-0.94
GSCOC_T00002078001	5.79	5.55	-0.23
GSCOC_T00002079001	4	3.65	-0.35
GSCOC_T00002080001	5.26	5.03	-0.23
GSCOC_T00002082001	1.68	1.09	-0.59
GSCOC_T00002088001	4.66	5.03	0.37
GSCOC_T00002089001	3.62	3.01	-0.61
GSCOC_T00002094001	6.37	6.82	0.45
GSCOC_T00002095001	5.83	7.03	1.2
GSCOC_T00002098001	5.71	3.79	-1.92
GSCOC_T00002099001	6.06	5.92	-0.14
GSCOC_T00002100001	0.14	0.83	0.69
GSCOC_T00002101001	6.63	7.26	0.62
GSCOC_T00002102001	2.67	2.66	-0.01
GSCOC_T00002103001	4.35	4.21	-0.14
GSCOC_T00002104001	7.14	6.76	-0.38
GSCOC_T00002106001	5.31	5.34	0.03
GSCOC_T00002107001	7.01	4.94	-2.07
GSCOC_T00002108001	5.44	5.24	-0.2
GSCOC_T00002111001	5.88	7.46	1.58
GSCOC_T00002112001	5.54	4.63	-0.91
GSCOC_T00002113001	6.69	6.43	-0.27
GSCOC_T00002114001	3.2	3.28	0.08
GSCOC_T00002115001	5.65	4.89	-0.75
GSCOC_T00002116001	4.47	4.51	0.04
GSCOC_T00002121001	4.98	3.9	-1.08
GSCOC_T00002122001	0.3	5.33	5.03
GSCOC_T00002125001	-1.98	2.53	4.51
GSCOC_T00002148001	3.54	4.35	0.81
GSCOC_T00002152001	2.29	1.83	-0.46
GSCOC_T00002158001	5.66	5.21	-0.45
GSCOC_T00002159001	1.17	1.45	0.28
GSCOC_T00002160001	0.94	1.65	0.7
GSCOC_T00002161001	5.33	6.16	0.83
GSCOC_T00002162001	4.47	4.36	-0.11
GSCOC_T00002163001	4.67	4.37	-0.3
GSCOC_T00002169001	5.89	6.02	0.13
GSCOC_T00002173001	-0.62	2.94	3.56
GSCOC_T00002183001	4.65	5.56	0.92
GSCOC_T00002191001	1.96	0.48	-1.48
GSCOC_T00002194001	2.25	2.04	-0.21
GSCOC_T00002196001	0.67	0.77	0.11
GSCOC_T00002197001	4.21	4.6	0.39
GSCOC_T00002205001	3.84	3.49	-0.35
GSCOC_T00002207001	0.7	0.24	-0.46
GSCOC_T00002210001	4.32	1.5	-2.82
GSCOC_T00002211001	4.78	5.28	0.5
GSCOC_T00002215001	2.9	3.7	0.8
GSCOC_T00002218001	5.29	6.1	0.81
GSCOC_T00002220001	2.72	1.43	-1.29
GSCOC_T00002236001	5.33	4.42	-0.92
GSCOC_T00002237001	6.22	4.99	-1.23
GSCOC_T00002270001	4.23	4.87	0.64
GSCOC_T00002278001	1.95	0.88	-1.07
GSCOC_T00002280001	1.52	0.61	-0.92
GSCOC_T00002281001	2.04	2.23	0.19
GSCOC_T00002319001	6.74	5.67	-1.07
GSCOC_T00002320001	0.54	0.89	0.36
GSCOC_T00002321001	6.33	6.27	-0.06
GSCOC_T00002332001	3.11	0.54	-2.57
GSCOC_T00002336001	4.7	4.14	-0.56
GSCOC_T00002339001	3.66	3.29	-0.37
GSCOC_T00002340001	3.4	-1.33	-4.73
GSCOC_T00002341001	1.1	-0.44	-1.53
GSCOC_T00002342001	1.84	2.84	0.99
GSCOC_T00002343001	0.66	2.85	2.19
GSCOC_T00002347001	2.71	1.64	-1.07
GSCOC_T00002350001	-0.63	3.95	4.58
GSCOC_T00002359001	1.39	0.01	-1.38
GSCOC_T00002360001	0.98	1.57	0.6
GSCOC_T00002362001	2.4	3.13	0.73
GSCOC_T00002364001	5.15	2.53	-2.63
GSCOC_T00002366001	1.99	2.07	0.08
GSCOC_T00002390001	1.14	-0.09	-1.23
GSCOC_T00002393001	-2.79	0.81	3.59
GSCOC_T00002404001	4.37	4.71	0.33
GSCOC_T00002406001	4.72	4.7	-0.02
GSCOC_T00002415001	-1.27	-0.02	1.25
GSCOC_T00002416001	2.81	3.55	0.74
GSCOC_T00002421001	7.45	6.57	-0.88
GSCOC_T00002422001	8.3	7.95	-0.36
GSCOC_T00002438001	5.08	4.19	-0.89
GSCOC_T00002445001	1.38	0.36	-1.02
GSCOC_T00002450001	4.65	3.95	-0.69
GSCOC_T00002455001	5.67	5.98	0.31
GSCOC_T00002466001	3.21	1.97	-1.24
GSCOC_T00002467001	3.41	5.31	1.9
GSCOC_T00002512001	5.25	5.58	0.34
GSCOC_T00002531001	5.45	5.47	0.02
GSCOC_T00002533001	7.22	6.4	-0.83
GSCOC_T00002534001	5.35	5.91	0.56
GSCOC_T00002535001	4.31	3.05	-1.26
GSCOC_T00002538001	5.42	6.02	0.6
GSCOC_T00002539001	-2.14	0.57	2.7
GSCOC_T00002540001	4.14	4.91	0.78
GSCOC_T00002543001	0.56	0.35	-0.21
GSCOC_T00002546001	2.89	-0.23	-3.12
GSCOC_T00002557001	6.08	6.76	0.68
GSCOC_T00002558001	3.44	3.15	-0.29
GSCOC_T00002564001	4.11	3.99	-0.12
GSCOC_T00002565001	3.52	3.32	-0.2
GSCOC_T00002569001	4.2	5.76	1.56
GSCOC_T00002580001	5.04	4.47	-0.58
GSCOC_T00002581001	3.05	3.51	0.46
GSCOC_T00002589001	5.11	6.11	1
GSCOC_T00002590001	5.05	3.37	-1.69
GSCOC_T00002593001	1.36	2.38	1.02
GSCOC_T00002596001	7.64	4.6	-3.04
GSCOC_T00002597001	4.96	5.34	0.38
GSCOC_T00002599001	1.84	1.28	-0.57
GSCOC_T00002601001	1.56	1.31	-0.25
GSCOC_T00002602001	1.83	1.06	-0.78
GSCOC_T00002603001	4.06	4.05	-0.01
GSCOC_T00002609001	2.73	2.59	-0.15
GSCOC_T00002610001	2.74	2.33	-0.41
