	AveExpr	Coef	t	P.value	F	F.p.value
GSCOC_T00009223001	4.15767533775528	0.133419010689788	0.834544067066712	0.425869068295563	0.696463799876248	0.425869068295563
GSCOC_T00009227001	1.12413731257745	0.585846481026291	2.60943418787102	0.0286176111547957	6.80914678083011	0.0286176111547957
GSCOC_T00009230001	4.25616767654157	0.641327021254928	3.46017103160608	0.00731242199722821	11.9727835679659	0.00731242199722821
GSCOC_T00009232001	4.81513416435326	-0.388081083238082	-2.47027233194024	0.0359073859567556	6.10224539394949	0.0359073859567556
GSCOC_T00009233001	0.542896132412737	0.713670785178505	1.62887797807754	0.138257809426042	2.65324346746597	0.138257809426042
GSCOC_T00009237001	4.42658530426627	-0.195602649306892	-1.25471125170262	0.241620589756135	1.57430032514916	0.241620589756135
GSCOC_T00009239001	6.19391896714816	0.187013962320762	1.29204309382975	0.228973068221791	1.66937535631315	0.228973068221791
GSCOC_T00009256001	2.19020776308823	-0.221522622673832	-0.33542862445242	0.745095179504264	0.112512362102043	0.745095179504264
GSCOC_T00009260001	2.79215207966646	-1.10474190946177	-3.14005988973048	0.0121340662558317	9.85997611109419	0.0121340662558317
GSCOC_T00009269001	1.68260416173521	-1.39146756676876	-5.54461918655313	0.000377370375586868	30.7428019238931	0.000377370375586868
GSCOC_T00009270001	3.96606858369501	-1.42670333368773	-11.5295428127793	1.2211256744746e-06	132.930357471711	1.2211256744746e-06
GSCOC_T00009271001	3.18409346847102	0.274776892056797	0.796473307797784	0.446540265432095	0.634369730034343	0.446540265432095
GSCOC_T00009272001	1.76769466855711	0.834561990988133	1.00394338410379	0.341993596916658	1.00790231848578	0.341993596916658
GSCOC_T00009279001	2.30656865159314	0.160529281689854	0.685662260677952	0.510439331866789	0.470132735718	0.510439331866789
GSCOC_T00009315001	0.239376010685362	-1.77342185527062	-4.62745635589894	0.00128817135292914	21.4133523257495	0.00128817135292914
GSCOC_T00009319001	6.81408646711313	0.216171117761163	1.74058654086215	0.116220983125677	3.02964150623047	0.116220983125677
GSCOC_T00009320001	2.69169197993224	0.970093864183819	1.42740811470374	0.187689249744646	2.03749392592208	0.187689249744646
GSCOC_T00009326001	0.488137205397825	1.30436345926776	2.90274639965925	0.01777164559378	8.42593666073471	0.01777164559378
GSCOC_T00009344001	5.05565370173461	6.11633135007039	28.8474631420091	4.4339393706605e-10	832.176129729574	4.4339393706605e-10
GSCOC_T00009347001	6.69034210841474	0.272298117092214	3.02533845214547	0.0145840616971473	9.15267275002993	0.0145840616971473
GSCOC_T00009356001	3.17826457686228	-0.134821145075912	-0.507643412065874	0.624079098083201	0.257701833813883	0.624079098083201
GSCOC_T00009359001	5.25649347899219	-0.295546935325173	-0.652211946032973	0.530792940481399	0.425380422548117	0.530792940481399
GSCOC_T00009368001	5.99789697045913	-5.62725295538615	-33.5988720844993	1.15885354983721e-10	1128.88420535054	1.15885354983721e-10
GSCOC_T00009374001	3.36813498118272	-0.582263064545401	-2.47328179284411	0.0357315716346421	6.1171228268142	0.0357315716346421
GSCOC_T00009375001	4.16239006216956	0.212327304911945	1.12942775766752	0.28832110725633	1.27560705978987	0.28832110725633
GSCOC_T00009376001	3.1199119830631	0.160258110384174	0.98760411947428	0.34950722714019	0.975361896802567	0.34950722714019
GSCOC_T00009377001	4.98367363672913	-0.393053684689971	-1.43117403995221	0.186638795133373	2.04825913263314	0.186638795133373
GSCOC_T00009380001	6.295280698954	-0.230024347671287	-2.79876655203408	0.0210318416248371	7.83309421278475	0.0210318416248371
GSCOC_T00009381001	5.37130219678878	0.729056810609232	6.64238343919297	0.00010093598397079	44.121257753265	0.00010093598397079
GSCOC_T00009382001	5.04490083357697	-0.12263136774247	-0.827527538049962	0.429628845505551	0.684801826231032	0.429628845505551
GSCOC_T00009384001	3.88064117464014	1.53292438107929	10.6066845342038	2.44625078627522e-06	112.501756808118	2.44625078627522e-06
GSCOC_T00009385001	5.94654982691797	-0.108749069834946	-1.02422828403057	0.332835463111457	1.0490435778082	0.332835463111457
GSCOC_T00009386001	6.86700242194857	0.0815889790891866	0.224157724537986	0.827710223113495	0.0502466854700478	0.827710223113495
GSCOC_T00009387001	1.0147560162136	1.0894376912165	2.54495179680384	0.0317898132958304	6.47677964805508	0.0317898132958304
GSCOC_T00009389001	2.11574576515023	2.86613085674428	10.5897467303493	2.47885071044297e-06	112.142735812943	2.47885071044297e-06
GSCOC_T00009390001	0.613632302860442	1.9397218098515	5.32218020351466	0.000502697764456667	28.3256021186833	0.000502697764456667
GSCOC_T00009391001	8.96952066863283	-0.675955078111153	-4.4312818064526	0.00170168192665266	19.6362584481978	0.00170168192665266
GSCOC_T00009397001	3.5734535614455	-0.261685503904068	-0.788457360363991	0.450977149475679	0.621665009112153	0.450977149475679
GSCOC_T00009400001	6.31345428711277	-1.0405963146357	-4.92185546927494	0.000857236221550894	24.2246612604317	0.000857236221550894
GSCOC_T00009406001	5.649878959338	1.61042066518154	9.71463695785138	5.042497463315e-06	94.3741712228518	5.042497463315e-06
GSCOC_T00009407001	4.66522624125881	0.274714124411748	2.25509878999891	0.0509814828189802	5.08547055265453	0.0509814828189802
GSCOC_T00009411001	1.2337004056911	1.876287487255	4.7457824596273	0.00109200743237674	22.5224511541062	0.00109200743237674
GSCOC_T00009414001	0.21669159599047	-0.172029064684972	-0.353514552464326	0.731955472979718	0.124972538804052	0.731955472979718
GSCOC_T00009420001	3.32987429578748	0.198660427562541	0.776408959573752	0.457701036038394	0.602810872506396	0.457701036038394
GSCOC_T00009421001	6.90113503585035	-0.251536270869636	-2.32139919754932	0.0457686621589469	5.38889423438263	0.0457686621589469
GSCOC_T00009426001	2.76745431078921	-0.180226170455192	-0.567226732407013	0.58462100650763	0.321746165957138	0.58462100650763
GSCOC_T00009427001	0.159730142807212	-0.168866183100317	-0.536612285714576	0.604724938398242	0.287952745179822	0.604724938398242
GSCOC_T00009428001	4.73602016576302	-0.0768866640322718	-0.645521328940222	0.534921595516057	0.41669778611675	0.534921595516057
GSCOC_T00009429001	3.08524594264582	-1.28112404251113	-4.4433290580049	0.00167256657105837	19.7431731177107	0.00167256657105836
GSCOC_T00009434001	5.09823489629506	-2.67077194031785	-13.1841992166416	3.94355739001197e-07	173.823108984094	3.94355739001197e-07
GSCOC_T00009437001	1.02509510574881	-7.14267234672394	-3.43319573678186	0.00762799385895165	11.7868329670571	0.00762799385895165
GSCOC_T00009438001	6.35122504046741	0.490502008884619	1.58912875097683	0.146972076619556	2.52533018718119	0.146972076619556
GSCOC_T00009440001	5.70629890182971	-0.642231289631552	-7.48103647030293	4.0653161517614e-05	55.9659066700026	4.0653161517614e-05
GSCOC_T00009441001	6.33162637041623	-3.67392326693054	-16.7291408487706	5.13624894017484e-08	279.864153538005	5.13624894017484e-08
GSCOC_T00009442001	3.5472141784046	-4.63946975039682	-4.10750276718467	0.0027272096851149	16.8715789824297	0.00272720968511491
GSCOC_T00009443001	-0.293255606435261	-3.96933416051933	-3.5593142377839	0.00626529392865369	12.6687178432912	0.00626529392865369
GSCOC_T00009446001	3.26396756855927	0.736749988602532	4.43272026173533	0.00169817716487438	19.6490089187989	0.00169817716487438
GSCOC_T00009447001	5.24624168692441	-0.689794416921776	-2.10206596290783	0.0653322558966425	4.4186813124156	0.0653322558966425
GSCOC_T00009449001	4.10845436614285	0.418028731790853	3.26596724834859	0.00992992524106314	10.6665420672857	0.00992992524106313
GSCOC_T00009455001	0.0988258745252234	-0.112132370679278	-0.293783757952764	0.775678180292908	0.0863088964368485	0.775678180292908
GSCOC_T00009458001	1.1510196476493	-0.224811116679645	-0.743273688963557	0.476531726553442	0.552455776705494	0.476531726553442
GSCOC_T00009467001	3.4072903785203	-0.412662724358157	-1.50097917451709	0.168074459877252	2.25293848233401	0.168074459877252
GSCOC_T00009469001	1.50651116941379	-1.34069291645536	-5.29956122113486	0.000517772974005015	28.0853491365564	0.000517772974005015
GSCOC_T00009472001	5.12449006872113	3.06235762457409	27.3799432127232	7.01424375200222e-10	749.661290331949	7.01424375200222e-10
GSCOC_T00009473001	2.83505354325735	0.630117421607721	4.10415403259815	0.00274076071263953	16.8440803232917	0.00274076071263952
GSCOC_T00009474001	4.88020619040941	-0.880871416914466	-4.34416669564491	0.00192906806622003	18.8717842795504	0.00192906806622003
GSCOC_T00009480001	2.87342476221017	-1.37583704996467	-5.00713401199747	0.000763635670728289	25.0713910141019	0.000763635670728289
GSCOC_T00009485001	0.565889788548088	2.26658479885585	5.71138337908317	0.000305735633168165	32.6199001028675	0.000305735633168165
GSCOC_T00009486001	6.32242291701359	1.22805785634825	8.4284598176329	1.58927188468701e-05	71.0389348974524	1.58927188468701e-05
GSCOC_T00009488001	3.18383938691343	-0.855259372719606	-2.53461681609914	0.0323301387312669	6.42428240445252	0.0323301387312669
GSCOC_T00009489001	4.29286141699631	-0.459805586403777	-2.29920836229212	0.0474521335278316	5.286359093234	0.0474521335278316
GSCOC_T00009493001	1.78639757465392	-2.21170991429	-6.11247713161243	0.000187107665490876	37.362376684485	0.000187107665490876
GSCOC_T00009502001	6.20513069699364	0.318462787104107	1.84554402214949	0.0985123766037645	3.40603273769173	0.0985123766037645
GSCOC_T00009505001	4.05961428549977	0.190668402062802	0.664320946677081	0.523369290207124	0.441322320193934	0.523369290207124
GSCOC_T00009507001	1.2969264150748	-0.238300511462882	-1.01730034080607	0.335942142410545	1.03489998340415	0.335942142410545
GSCOC_T00009508001	3.66777157073662	-0.59089463669548	-3.3303177663469	0.00896843443504973	11.0910164248458	0.00896843443504974
